时间,时代,表现=>{原因}
1914,中华民国(北洋政府),"[一战爆发=>列强放松经济侵略,政府支持,提倡国货群众运动]=>民族工业迅速发展的短暂春天=>面粉,纺织业发展迅速;"
1915,中华民国(北洋政府),陈独秀《敬告青年》in[上海创办《青年杂志》=>《新青年》]=>发起新文化运动=>提倡民主科学;
1917,中华民国(北洋政府),"苏俄二月革命,列宁《四月提纲》,苏俄十月革命=>社会主义由理论变为现实;"
1918,中华民国(北洋政府),"一战结束,民族工业迅速萧条;苏联迫于国内战争=>实行战时共产主义政策;胡适《文学改良刍议》,陈独秀《文学革命论》=>新文化运动文学革命;李大钊率先举起社会主义旗帜=>马克思主义开始传入中国;"
1919,中华民国(北洋政府),巴黎和会举行=>五四运动爆发(北京学生=>上海工人)=>新民主主义革命开始;李大钊发文比较全面地介绍了马克思主义;马克思主义社团出现;中国共产党早期组织出现;
1920,中华民国(北洋政府),中国首条空中航线天津航线开通;
1921,中华民国(北洋政府),"苏俄新经济政策;中共一大(名称,党纲,奋斗目标,中心工作,中央机构,书记);中国共产党诞生;北京出现人力车;毛泽东《中国社会各阶级的分析》《湖南农民运动考察报告》;"
1922,中华民国(北洋政府),苏联成立;
1924,中华民国(北洋政府),"国共两党合作=>国民党一大,旧三民主义发展为新三民主义=>国民革命开始;苏联开始斯大林模式=>逐渐形成高度集中的计划经济体制;"
1925,中华民国(北洋政府),国民政府在广州成立;苏联国民经济恢复工作基本完成;
1926,中华民国(北洋政府),北伐开始;
1927,中华民国(南京国民政府),"反革命政变;进入国共两党对峙时期;南京国民政府成立;南昌起义;八七会议=>毛泽东领导秋收起义=>井冈山革命根据地创建=>土地革命;国民经济建设运动;民族工业较快发展;美国出现有声电影;毛泽东形成了工农武装割据思想(表现为农村包围城市,武装夺取政权);星星之火可以燎原理论形成;"
1929,中华民国(南京国民政府),空前严重的经济危机（黑色星期四）=>美国历史上大萧条时期来临;
20c30s,中华民国(南京国民政府),量子力学建立起来;
1931,中华民国(南京国民政府),九一八事变(东北华北等地)=>抗日战争开始;有声电影《歌女红牡丹》公映;
1933,中华民国(南京国民政府),罗斯福就任美国总统=>实施“新政”;
1934,中华民国(南京国民政府),红军开始长征;
1935,中华民国(南京国民政府),遵义会议召开;吴起镇会师;华北事变=>中日矛盾上升的社会主要矛盾;彩色电影《浮华世家》;电影《渔光曲》在国际上获奖;
1936,中华民国(南京国民政府),甘肃红一会师=>长征结束;
1937,中华民国(南京国民政府),"七七事变=>日本发动全面侵华战争=>民族工业空前残酷的打击,官僚资本迅速膨胀;抗日民族统一战线建立=>全民族团结抗战;淞沪会战;太原会战(平型关大捷);毛泽东提出新民主主义革命概念《论持久战》《新民主主义论》《论临时政府》;"
1938,中华民国(南京国民政府),徐州会战(台儿庄战役);武汉会战(转入相持阶段);
1939,中华民国(南京国民政府),二战爆发;
1940,中华民国(南京国民政府),美国国民收入恢复;百团大战;
1944,中华民国(南京国民政府),布雷顿森林会议=>《布雷顿森林协定》;
1945,中华民国(南京国民政府),二战结束;抗日战争胜利;重庆谈判=>《双十协定》;美国成立国际货币基金组织和世界银行;西欧开始走上联合道路;资本主义殖民体系被打破;西方资本主义国家盛行国家垄断资本主义=>经济发展“黄金”时期;福利国家逐渐发展;民族工业陷入绝境;中共七大(毛泽东思想确立为党的指导思想);
1946,中华民国(南京国民政府),国民党军队大举进攻中原解放区=>解放战争(全面内战)爆发;美国出现世界上第一台电子计算机;
1947,中华民国(南京国民政府),刘邓大军挺进大别山=>解放战争转折点;杜鲁门主义=>冷战开始标志;马歇尔计划;内蒙古自治区成立;日内瓦《关贸总协定》;
1948,中华民国(南京国民政府),"辽沈战役(锦州,长春,沈阳,东北);"
1949,中华人民共和国,"平津战役(天津,北平,张家口);淮海战役(徐州,宿县);渡江战役=>国民政府覆灭=>新民主主义革命基本胜利;中共七届二中全会(党的工作重心,方针,基本政策,总任务);第一届人民政治协商会议=>[《共同纲领》通过,中共领导的多党合作和政治协商制度建立];新中国成立=>奉行独立自主的和平外交政策;北大西洋公约组织建立;经济互助委员会建立;毛泽东《论人民民主专政》;"
1950,中华人民共和国,朝鲜战争爆发;
1951,中华人民共和国,六国“欧洲煤钢共同体”;
1953,中华人民共和国,会见印度代表团=>周恩来提出和平共处五项原则;我国实行第一个五年计划开始=>开始三大改造;苏联赫鲁晓夫改革;
1954,中华人民共和国,"第一届全国人大=>1954《中华人民共和国宪法》=>[人民代表大会制度,民族区域自治制度];日内瓦会议(五大国);"
1955,中华人民共和国,万隆会议(求同存异);华沙条约组织成立=>美苏两极格局形成;
1956,中华人民共和国,"基本完成三大改造=>[社会主义经济体系,社会主义制度基本建立,社会主义建设在中国全面展开,仍存在私营经济];中共八大(正确分析国内主要矛盾和当前主要任务);毛泽东在中共中央政治局扩大会议提出双百方针=>[老舍话剧《茶馆》,郭沫若历史剧《蔡文姬》,杨沫长篇小说《青春之歌》];毛泽东发表《论十大关系》;"
1957,中华人民共和国,"六国成立欧洲经济共同体,欧洲原子能共同体;毛泽东发表《关于正确处理人民内部矛盾的问题》的讲话=>创造性地提出两类矛盾学说;"
1958,中华人民共和国,北京电视台;大跃进=>人民公社化运动;
20c60s,中华人民共和国,中国逐步形成比较完整的国民教育体系;
1961,中华人民共和国,"越南战争,不结盟运动形成;"
1962,中华人民共和国,古巴导弹危机;
1964,中华人民共和国,"中国第一颗原子弹爆炸成功,中国中近程导弹试验成功;"
1967,中华人民共和国,欧洲共同体成立;
1965,中华人民共和国,中国首次实现人工合成牛胰岛素;
1966,中华人民共和国,文化大革命开始;
1967,中华人民共和国,欧洲共同体成立;
19c70s,中华人民共和国,西方“滞胀”=>混合经济
1970,中华人民共和国,中国第一颗人造卫星“东方红一号”发射成功;
1971,中华人民共和国,第26届联大(中国恢复联合国合法地位);基辛格访华;
1972,中华人民共和国,尼克松访华=>中美关系逐渐走向正常化;《联合公报》;田中角荣访华=>中日建交;
1973,中华人民共和国,袁隆平选育出杂交水稻成功;
1977,中华人民共和国,中国高考制度恢复;
1978,中华人民共和国,"十一届三中全会(把党的工作重心转移到社会主义现代化建设上,法制建设方针)=>[改革开放,民主政治建设进入新时期,中国特色社会主义经济建设道路起点,重大转折];停止炮击金门;家庭联产承包责任制;科教兴国;"
1979,中华人民共和国,《告台湾同胞书》;中美正式建交;
20c80s,中华人民共和国,"邓小平提出“一国两制”构想;日本提出谋求政治大国的目标;缩小福利国家规模;邓小平“教育要面向现代化,面向世界,面向未来”;《义务教育法》;"
1980,中华人民共和国,"经济特区设立(深圳,珠海,汕头,厦门);"
1982,中华人民共和国,中共十二大(建设中国特色社会主义);修订1982宪法;
1983,中华人民共和国,"撤销人民公社,建立村民委员会;“银河I号”高性能计算机;"
1984,中华人民共和国,城市经济体制全面发展;开放沿海港口城市;《民族区域自治法》颁布;
1985,中华人民共和国,苏联戈尔巴乔夫上台改革;开辟沿海经济开发区;
1987,中华人民共和国,"中共十三大(对邓小平理论作了系统概括,提出了社会主义初级阶段理论,“一个中心两个基本点”基本路线);两岸允许探亲;"
1988,中华人民共和国,海南经济特区建立;
1989,中华人民共和国,12国澳大利亚首都成立亚太经济合作组织;
20c90s,中华人民共和国,211工程;希望工程;美国“新经济”出现;
1990,中华人民共和国,海峡交流基金会成立;开发开放上海浦东;两徳统一(民主德国并入联邦德国);
1991,中华人民共和国,"汉城会议《汉城宣言》;中国正式加入亚太经合组织;海峡两岸关系协会建立;苏联解体=>两极格局瓦解=>[有利于世界经济全球化,世界格局变为一超多强,多极化趋势出现];"
1992,中华人民共和国,"美国加拿大墨西哥《北美自由贸易协定》;欧共体成员国《欧洲联盟条约》;九二共识;中共十四大(将建立社会主义市场经济体制确立为改革目标i)=>社会主义改革开发和现代化建设进入新阶段;南方谈话(“什么是社会主义,怎样建设社会主义”根本问题,社会主义本质,判断工作是非标准“三个有利于”);"
1993,中华人民共和国,十四届三中全会(社会主义市场经济体制基本框架);欧洲联盟成立;
1994,中华人民共和国,北美自由贸易区成立(美国加拿大墨西哥);中国接入互联网;
1995,中华人民共和国,世界贸易组织成立=>规范化法制化的世界贸易体系开始建立;
1997,中华人民共和国,香港回归;铁路大提速;中共十五大(邓小平理论写入党章);
1999,中华人民共和国,;澳门回归;欧元问世;
20c,中华人民共和国,总体达到小康水平;江泽民“三个代表”;
2001,中华人民共和国,中国加入世界贸易组织;亚太经合组织第九次领导人非正式会议;上合组织成立=>上海共识;社会主义商品市场体系基本建立;
2002,中华人民共和国,中共十六大(“三个代表”写入党章);
2003,中华人民共和国,中国神州五号载人航天飞船成功返回地面;
2005,中华人民共和国,国民党主席访问大陆;
2006,中华人民共和国,青藏铁路通车;
2008,中华人民共和国,"两岸通邮,通航,通商;"
